[API Name] Package org.apache.commons.imaging.formats.tiff.constants.TiffTagConstants
[Type] Class
[Info]
public final class TiffTagConstants extends Object Tags from the TIFF6 specification.    http://partners.adobe.com/public/developer/en/tiff/TIFF6.pdf
[Field Summary]
static List<TagInfo> ALL_TIFF_TAGS	
static int COMPRESSION_VALUE_ADOBE_DEFLATE	
static int COMPRESSION_VALUE_CCIRLEW	
static int COMPRESSION_VALUE_CCITT_1D	
static int COMPRESSION_VALUE_DCS	
static int COMPRESSION_VALUE_DEFLATE	
static int COMPRESSION_VALUE_EPSON_ERF_COMPRESSED	
static int COMPRESSION_VALUE_IT8BL	
static int COMPRESSION_VALUE_IT8CTPAD	
static int COMPRESSION_VALUE_IT8LW	
static int COMPRESSION_VALUE_IT8MP	
static int COMPRESSION_VALUE_JBIG	
static int COMPRESSION_VALUE_JBIG_B_AND_W	
static int COMPRESSION_VALUE_JBIG_COLOR	
static int COMPRESSION_VALUE_JPEG	
static int COMPRESSION_VALUE_JPEG_2000	
static int COMPRESSION_VALUE_JPEG_OLD_STYLE	
static int COMPRESSION_VALUE_KODAK_DCR_COMPRESSED	
static int COMPRESSION_VALUE_LZW	
static int COMPRESSION_VALUE_NEXT	
static int COMPRESSION_VALUE_NIKON_NEF_COMPRESSED	
static int COMPRESSION_VALUE_PACK_BITS	
static int COMPRESSION_VALUE_PENTAX_PEF_COMPRESSED	
static int COMPRESSION_VALUE_PIXAR_FILM	
static int COMPRESSION_VALUE_PIXAR_LOG	
static int COMPRESSION_VALUE_SGILOG	
static int COMPRESSION_VALUE_SGILOG_24	
static int COMPRESSION_VALUE_T4_GROUP_3_FAX	
static int COMPRESSION_VALUE_T6_GROUP_4_FAX	
static int COMPRESSION_VALUE_THUNDERSCAN	
static int COMPRESSION_VALUE_UNCOMPRESSED	
static int EXTRA_SAMPLE_ASSOCIATED_ALPHA	
static int EXTRA_SAMPLE_UNASSOCIATED_ALPHA	
static int FILL_ORDER_VALUE_NORMAL	
static int FILL_ORDER_VALUE_REVERSED	
static int GRAY_RESPONSE_UNIT_VALUE_0_00001	
static int GRAY_RESPONSE_UNIT_VALUE_0_0001	
static int GRAY_RESPONSE_UNIT_VALUE_0_001	
static int GRAY_RESPONSE_UNIT_VALUE_0_01	
static int GRAY_RESPONSE_UNIT_VALUE_0_1	
static int INK_SET_VALUE_CMYK	
static int INK_SET_VALUE_NOT_CMYK	
static int JPEGPROC_VALUE_BASELINE	
static int JPEGPROC_VALUE_LOSSLESS	
static int OLD_SUBFILE_TYPE_VALUE_FULL_RESOLUTION_IMAGE	
static int OLD_SUBFILE_TYPE_VALUE_REDUCED_RESOLUTION_IMAGE	
static int OLD_SUBFILE_TYPE_VALUE_SINGLE_PAGE_OF_MULTI_PAGE_IMAGE	
static int ORIENTATION_VALUE_HORIZONTAL_NORMAL	
static int ORIENTATION_VALUE_MIRROR_HORIZONTAL	
static int ORIENTATION_VALUE_MIRROR_HORIZONTAL_AND_ROTATE_270_CW	
static int ORIENTATION_VALUE_MIRROR_HORIZONTAL_AND_ROTATE_90_CW	
static int ORIENTATION_VALUE_MIRROR_VERTICAL	
static int ORIENTATION_VALUE_ROTATE_180	
static int ORIENTATION_VALUE_ROTATE_270_CW	
static int ORIENTATION_VALUE_ROTATE_90_CW	
