[API Name] org.apache.pdfbox.cos.COSDictionary
[Type] Class
[Info]
All Implemented Interfaces: COSUpdateInfo, COSObjectable
Direct Known Subclasses: COSStream
public class COSDictionary extends COSBase implements COSUpdateInfo This class represents a dictionary where name/value pairs reside.
Author: Ben Litchfield
[Constructor Summary]
COSDictionary()	Constructor.
COSDictionary(COSDictionary dict)	Copy Constructor.
[Field Summary]
protected Map<COSName,COSBase> items	The name-value pairs of this dictionary.
[Method Summary]
void accept(ICOSVisitor visitor)	visitor pattern double dispatch method.
void addAll(COSDictionary dict)	This will add all of the dictionaries keys/values to this dictionary.
COSDictionary asUnmodifiableDictionary()	Returns an unmodifiable view of this dictionary.
void clear()	This will clear all items in the map.
boolean containsKey(COSName name)	
boolean containsKey(String name)	
boolean containsValue(Object value)	
Set<Map.Entry<COSName,COSBase>> entrySet()	Returns the name-value entries in this dictionary.
void forEach(BiConsumer<? super COSName,? super COSBase> action)	Convenience method that calls Map.forEach(BiConsumer).
boolean getBoolean(COSName key, boolean defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a COSBoolean and convert it to a primitive boolean.
boolean getBoolean(COSName firstKey, COSName secondKey, boolean defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a COSBoolean and convert it to a primitive boolean.
boolean getBoolean(String key, boolean defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a cos boolean and convert it to a primitive boolean.
COSArray getCOSArray(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a COSArray.
COSDictionary getCOSDictionary(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a COSDictionary.
COSDictionary getCOSDictionary(COSName firstKey, COSName secondKey)	This is a convenience method that will get the dictionary object that is expected to be a COSDictionary.
COSName getCOSName(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a name.
COSName getCOSName(COSName key, COSName defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a name.
COSObject getCOSObject(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a COSObject.
COSStream getCOSStream(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a COSStream.
Calendar getDate(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
Calendar getDate(COSName key, Calendar defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a date.
Calendar getDate(String key)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
Calendar getDate(String key, Calendar defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a date.
COSBase getDictionaryObject(COSName key)	This will get an object from this dictionary.
COSBase getDictionaryObject(COSName firstKey, COSName secondKey)	This is a special case of getDictionaryObject that takes multiple keys, it will handle the situation where multiple keys could get the same value, ie if either CS or ColorSpace is used to get the colorspace.
COSBase getDictionaryObject(String key)	This will get an object from this dictionary.
Calendar getEmbeddedDate(COSName embedded, COSName key)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
Calendar getEmbeddedDate(COSName embedded, COSName key, Calendar defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a date.
int getEmbeddedInt(COSName embeddedDictionary, COSName key)	Get an integer from an embedded dictionary.
int getEmbeddedInt(COSName embeddedDictionary, COSName key, int defaultValue)	Get an integer from an embedded dictionary.
String getEmbeddedString(COSName embedded, COSName key)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
String getEmbeddedString(COSName embedded, COSName key, String defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
boolean getFlag(COSName field, int bitFlag)	Gets the boolean value from the flags at the given bit position.
float getFloat(COSName key)	This is a convenience method that will get the dictionary object that is expected to be an float.
float getFloat(COSName key, float defaultValue)	This is a convenience method that will get the dictionary object that is expected to be an float.
float getFloat(String key)	This is a convenience method that will get the dictionary object that is expected to be an float.
float getFloat(String key, float defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a float.
void getIndirectObjectKeys(List<COSObjectKey> indirectObjects)	Collects all indirect objects numbers within this dictionary and all included dictionaries.
int getInt(COSName key)	This is a convenience method that will get the dictionary object that is expected to be an int.
int getInt(COSName firstKey, COSName secondKey)	This is a convenience method that will get the dictionary object that is expected to be an integer.
int getInt(COSName firstKey, COSName secondKey, int defaultValue)	This is a convenience method that will get the dictionary object that is expected to be an integer.
int getInt(COSName key, int defaultValue)	This is a convenience method that will get the dictionary object that is expected to be an integer.
int getInt(String key)	This is a convenience method that will get the dictionary object that is expected to be an int.
int getInt(String key, int defaultValue)	This is a convenience method that will get the dictionary object that is expected to be an integer.
COSBase getItem(COSName key)	This will do a lookup into the dictionary.
COSBase getItem(COSName firstKey, COSName secondKey)	This is a special case of getItem that takes multiple keys, it will handle the situation where multiple keys could get the same value, ie if either CS or ColorSpace is used to get the colorspace.
COSBase getItem(String key)	This will do a lookup into the dictionary.
COSName getKeyForValue(Object value)	Search in the map for the value that matches the parameter and return the first key that maps to that value.
long getLong(COSName key)	This is a convenience method that will get the dictionary object that is expected to be an long.
long getLong(COSName key, long defaultValue)	This is a convenience method that will get the dictionary object that is expected to be an integer.
